experience_years,price,duration_hours,interest,education_level,formation_category,has_java,has_spring,has_sql,has_python,has_management,label
8,245,13,MANAGEMENT,INGENIEUR,BUSINESS,1,0,1,1,1,1
8,511,23,OTHER,LICENCE,BUSINESS,1,0,1,1,0,0
15,795,20,OTHER,LICENCE,DATA_SCIENCE,1,0,0,0,1,1
5,709,19,LANGUAGES,LICENCE,INFORMATIQUE,0,1,0,0,1,0
8,788,39,BACKEND,LICENCE,INFORMATIQUE,1,0,0,0,1,1
3,243,25,LANGUAGES,LICENCE,LANGUES,0,0,1,1,0,1
6,232,28,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,1,1
2,265,14,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,1,1,1,1,0
2,254,27,MANAGEMENT,MASTER,BUSINESS,1,0,0,0,1,1
2,367,42,OTHER,MASTER,LANGUES,0,1,0,0,1,0
2,294,21,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,1,1
5,309,13,LANGUAGES,LICENCE,LANGUES,1,1,0,0,0,1
10,504,14,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
6,345,36,OTHER,MASTER,INFORMATIQUE,0,0,1,1,0,0
3,401,24,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
5,513,23,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,0
3,458,17,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
8,314,30,LANGUAGES,INGENIEUR,LANGUES,0,1,1,0,1,0
2,611,33,MANAGEMENT,LICENCE,LANGUES,0,0,0,0,1,0
3,352,25,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,0,1
4,569,8,OTHER,MASTER,BUSINESS,1,1,1,0,0,0
1,198,23,MANAGEMENT,LICENCE,INFORMATIQUE,0,1,0,1,1,0
11,291,10,DATA,MASTER,DATA_SCIENCE,0,0,0,1,0,1
0,626,28,BACKEND,MASTER,BUSINESS,0,0,1,0,1,0
15,851,16,OTHER,INGENIEUR,BUSINESS,0,1,1,0,1,0
13,297,21,DATA,MASTER,LANGUES,1,1,0,0,0,0
2,279,17,LANGUAGES,INGENIEUR,LANGUES,1,1,0,1,0,1
9,310,25,MANAGEMENT,LICENCE,BUSINESS,1,1,0,1,1,1
13,538,10,DATA,LICENCE,LANGUES,1,0,1,0,1,0
11,313,15,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,1,1
10,604,38,OTHER,INGENIEUR,LANGUES,1,1,1,1,1,0
11,363,28,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,0,1
12,175,26,MANAGEMENT,INGENIEUR,DATA_SCIENCE,0,0,0,1,0,0
6,508,23,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,0,1,0
10,210,26,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,0,1
10,423,17,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,1,1
15,485,33,LANGUAGES,INGENIEUR,LANGUES,1,1,0,1,1,1
13,185,24,LANGUAGES,INGENIEUR,INFORMATIQUE,1,0,0,0,1,0
13,460,24,MANAGEMENT,MASTER,DATA_SCIENCE,1,0,0,1,1,0
7,396,20,MANAGEMENT,LICENCE,BUSINESS,0,0,1,1,1,1
6,489,18,LANGUAGES,MASTER,LANGUES,0,0,1,1,1,0
5,436,17,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,1
2,385,12,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
9,322,12,LANGUAGES,LICENCE,LANGUES,1,1,0,1,1,1
14,658,9,LANGUAGES,LICENCE,LANGUES,1,1,0,0,1,1
11,367,24,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,1,1
0,451,34,MANAGEMENT,MASTER,DATA_SCIENCE,0,1,0,0,1,0
3,312,17,LANGUAGES,LICENCE,LANGUES,1,1,0,1,0,1
10,224,20,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,0,1
7,572,11,MANAGEMENT,MASTER,BUSINESS,0,1,1,0,0,0
3,486,22,LANGUAGES,INGENIEUR,LANGUES,0,0,0,1,1,1
5,199,27,MANAGEMENT,MASTER,BUSINESS,0,1,1,1,1,1
5,437,16,MANAGEMENT,MASTER,BUSINESS,1,0,1,0,1,1
13,599,8,BACKEND,LICENCE,BUSINESS,0,1,1,0,1,0
15,143,31,MANAGEMENT,INGENIEUR,BUSINESS,0,0,1,1,1,1
12,724,46,LANGUAGES,MASTER,LANGUES,0,1,0,1,0,1
15,430,26,BACKEND,MASTER,INFORMATIQUE,0,0,0,1,0,0
15,680,31,MANAGEMENT,LICENCE,DATA_SCIENCE,0,1,0,0,0,0
11,197,17,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,0,1
11,387,39,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
6,181,26,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,1,0,0,0
2,835,27,DATA,INGENIEUR,LANGUES,0,0,0,1,0,0
12,589,41,LANGUAGES,INGENIEUR,INFORMATIQUE,1,0,0,0,1,0
8,269,27,LANGUAGES,LICENCE,LANGUES,1,1,1,0,0,1
6,260,23,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,1,1,1
6,896,8,OTHER,LICENCE,INFORMATIQUE,1,1,0,0,0,0
4,745,30,LANGUAGES,LICENCE,INFORMATIQUE,0,1,0,1,1,0
8,656,21,OTHER,LICENCE,INFORMATIQUE,1,0,1,1,0,0
13,232,25,DATA,INGENIEUR,LANGUES,0,1,0,0,0,0
6,481,26,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,0,1
9,241,13,LANGUAGES,LICENCE,LANGUES,0,1,0,0,1,1
5,490,17,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,0
5,386,17,LANGUAGES,LICENCE,LANGUES,0,0,1,0,1,1
3,170,16,OTHER,INGENIEUR,DATA_SCIENCE,1,1,1,0,0,0
6,200,20,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,1,1
5,356,29,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
4,471,43,OTHER,MASTER,INFORMATIQUE,0,1,1,1,1,0
7,334,15,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,0,1
7,276,24,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,1,1
11,293,21,MANAGEMENT,MASTER,BUSINESS,1,0,0,0,1,1
9,248,26,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
14,315,41,BACKEND,INGENIEUR,BUSINESS,0,0,1,0,1,0
4,276,13,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,0,1,1
11,160,43,OTHER,MASTER,DATA_SCIENCE,0,0,1,0,0,0
7,348,28,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,0,1,0
5,388,23,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
9,805,23,OTHER,MASTER,LANGUES,0,0,0,1,1,0
5,519,30,MANAGEMENT,INGENIEUR,BUSINESS,0,1,0,1,1,1
13,851,39,BACKEND,MASTER,BUSINESS,0,1,0,0,1,0
7,431,43,OTHER,INGENIEUR,INFORMATIQUE,1,1,1,1,1,0
5,343,29,BACKEND,MASTER,DATA_SCIENCE,0,1,0,0,1,0
3,363,20,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
4,358,28,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,1,1
8,385,13,LANGUAGES,LICENCE,LANGUES,1,1,1,1,0,1
9,286,13,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,1,1
15,494,35,OTHER,INGENIEUR,DATA_SCIENCE,0,0,0,1,0,0
8,456,18,DATA,MASTER,DATA_SCIENCE,1,0,1,1,1,1
9,727,40,LANGUAGES,INGENIEUR,LANGUES,1,1,0,0,1,1
6,454,22,BACKEND,MASTER,INFORMATIQUE,1,1,1,0,1,1
4,473,46,DATA,LICENCE,INFORMATIQUE,1,0,0,0,0,0
5,605,18,MANAGEMENT,INGENIEUR,BUSINESS,0,1,0,0,1,1
4,472,14,LANGUAGES,INGENIEUR,LANGUES,0,1,0,1,1,1
11,212,34,DATA,INGENIEUR,INFORMATIQUE,0,0,0,0,1,1
3,150,22,OTHER,INGENIEUR,DATA_SCIENCE,0,0,0,0,0,0
2,252,23,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
3,284,22,LANGUAGES,LICENCE,LANGUES,1,0,0,1,1,1
0,149,36,DATA,MASTER,LANGUES,1,1,0,0,1,0
3,368,22,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,1,1
10,461,19,LANGUAGES,MASTER,LANGUES,0,0,0,1,0,1
0,890,36,BACKEND,INGENIEUR,BUSINESS,1,1,0,0,0,0
8,346,20,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
9,647,12,DATA,MASTER,INFORMATIQUE,1,0,1,1,0,0
13,435,16,OTHER,LICENCE,INFORMATIQUE,1,0,1,1,0,0
1,551,32,BACKEND,MASTER,LANGUES,0,0,0,0,1,0
10,145,18,MANAGEMENT,LICENCE,BUSINESS,1,1,0,0,0,0
5,498,17,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,1,1
2,396,8,LANGUAGES,LICENCE,INFORMATIQUE,1,0,1,0,0,0
1,580,35,OTHER,INGENIEUR,LANGUES,0,0,1,1,1,0
6,497,18,MANAGEMENT,MASTER,BUSINESS,0,1,0,1,1,1
8,607,33,DATA,LICENCE,BUSINESS,0,0,0,1,1,1
1,485,15,BACKEND,MASTER,BUSINESS,0,0,0,1,0,0
11,232,17,BACKEND,MASTER,INFORMATIQUE,1,1,1,1,1,1
2,203,24,MANAGEMENT,LICENCE,BUSINESS,0,0,1,1,1,1
1,835,32,LANGUAGES,MASTER,LANGUES,0,1,0,1,1,0
8,204,17,DATA,MASTER,DATA_SCIENCE,1,0,1,1,1,1
11,422,20,MANAGEMENT,MASTER,BUSINESS,0,1,0,1,1,1
9,701,48,MANAGEMENT,LICENCE,LANGUES,1,1,1,1,1,0
11,754,26,LANGUAGES,LICENCE,INFORMATIQUE,1,0,0,1,1,0
4,750,13,OTHER,LICENCE,DATA_SCIENCE,0,0,0,1,0,0
7,225,27,OTHER,INGENIEUR,LANGUES,1,1,1,1,1,1
12,633,19,LANGUAGES,LICENCE,LANGUES,0,1,0,0,0,1
5,548,40,MANAGEMENT,MASTER,LANGUES,1,0,1,0,1,0
11,509,14,MANAGEMENT,MASTER,BUSINESS,0,1,1,0,1,1
11,435,13,DATA,MASTER,DATA_SCIENCE,1,0,1,1,1,1
2,247,27,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,1,1
9,467,26,BACKEND,INGENIEUR,LANGUES,1,0,0,1,1,0
3,184,30,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,0
6,474,13,LANGUAGES,MASTER,LANGUES,1,1,1,1,0,1
3,494,30,LANGUAGES,INGENIEUR,LANGUES,0,1,1,0,1,1
11,306,29,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,1,1
3,296,44,MANAGEMENT,MASTER,LANGUES,1,1,0,1,1,0
6,194,14,LANGUAGES,MASTER,LANGUES,1,0,1,0,0,1
0,397,29,OTHER,LICENCE,INFORMATIQUE,0,0,1,1,0,0
8,159,25,MANAGEMENT,MASTER,BUSINESS,1,1,1,1,1,0
11,346,29,LANGUAGES,MASTER,LANGUES,1,0,0,0,0,1
3,520,45,DATA,LICENCE,BUSINESS,0,1,0,1,0,0
8,302,20,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,1
5,502,26,DATA,MASTER,DATA_SCIENCE,0,1,1,1,1,1
10,329,44,MANAGEMENT,MASTER,INFORMATIQUE,1,1,1,1,0,0
9,718,26,LANGUAGES,LICENCE,LANGUES,0,1,1,0,1,1
4,482,26,LANGUAGES,MASTER,INFORMATIQUE,1,1,1,0,1,0
7,386,14,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
3,299,21,LANGUAGES,LICENCE,LANGUES,1,0,1,0,1,1
3,340,27,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,0
8,372,22,LANGUAGES,INGENIEUR,LANGUES,1,0,1,1,1,1
7,312,21,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,1,1
4,399,21,MANAGEMENT,LICENCE,DATA_SCIENCE,1,1,1,0,1,0
4,218,20,LANGUAGES,LICENCE,LANGUES,1,0,0,0,0,1
4,337,23,LANGUAGES,INGENIEUR,LANGUES,0,1,0,1,1,1
5,331,31,LANGUAGES,MASTER,LANGUES,1,1,0,1,1,1
0,900,13,OTHER,INGENIEUR,LANGUES,1,1,0,0,0,0
9,334,18,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,1,1
9,656,28,BACKEND,LICENCE,INFORMATIQUE,1,0,1,0,1,1
10,308,15,LANGUAGES,MASTER,LANGUES,1,0,0,0,0,1
9,438,26,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,0,1
2,628,14,LANGUAGES,LICENCE,DATA_SCIENCE,1,1,1,0,1,0
5,472,44,LANGUAGES,LICENCE,BUSINESS,0,1,0,0,1,0
4,825,31,OTHER,INGENIEUR,LANGUES,0,0,0,1,0,0
11,297,18,LANGUAGES,MASTER,LANGUES,1,1,0,1,0,1
3,267,13,LANGUAGES,INGENIEUR,LANGUES,0,1,1,0,1,1
0,524,16,OTHER,LICENCE,BUSINESS,0,1,0,1,1,0
4,875,38,BACKEND,LICENCE,DATA_SCIENCE,1,0,0,0,1,0
5,322,23,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
3,493,24,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,1,1
4,445,23,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,0,1
3,835,46,OTHER,INGENIEUR,INFORMATIQUE,0,0,1,1,0,0
10,548,37,OTHER,MASTER,INFORMATIQUE,0,1,0,1,1,0
10,191,19,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,1,1
7,767,25,OTHER,LICENCE,BUSINESS,1,0,1,1,0,0
5,286,15,MANAGEMENT,MASTER,BUSINESS,1,1,1,1,1,1
3,197,20,LANGUAGES,LICENCE,LANGUES,0,0,1,1,1,1
12,587,14,MANAGEMENT,LICENCE,DATA_SCIENCE,1,1,0,0,1,0
7,350,24,LANGUAGES,LICENCE,DATA_SCIENCE,0,1,0,1,1,0
8,898,21,OTHER,LICENCE,INFORMATIQUE,1,1,0,0,1,0
12,740,24,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,0,0,0,0
7,228,31,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,1,1
2,714,19,BACKEND,MASTER,BUSINESS,1,0,0,0,1,0
5,248,23,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,1
8,188,29,DATA,MASTER,DATA_SCIENCE,0,1,1,1,1,1
8,136,48,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,0,0,1,0
15,460,31,MANAGEMENT,LICENCE,BUSINESS,0,0,1,0,0,0
15,406,15,BACKEND,INGENIEUR,DATA_SCIENCE,0,1,0,0,0,0
3,460,18,LANGUAGES,MASTER,LANGUES,1,0,1,0,0,1
10,265,10,DATA,LICENCE,BUSINESS,1,1,0,1,1,0
7,368,26,MANAGEMENT,MASTER,BUSINESS,1,1,0,1,1,1
3,235,15,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,0,1
6,391,23,OTHER,MASTER,BUSINESS,0,0,0,1,0,0
3,290,22,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,1,1
11,450,22,LANGUAGES,INGENIEUR,LANGUES,1,1,0,0,1,1
4,390,27,OTHER,MASTER,INFORMATIQUE,0,1,0,0,0,0
5,838,12,OTHER,LICENCE,BUSINESS,1,0,1,0,1,0
15,527,37,LANGUAGES,INGENIEUR,BUSINESS,1,1,1,1,0,0
11,262,16,MANAGEMENT,INGENIEUR,BUSINESS,1,0,0,1,1,1
11,188,16,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,1,1,1
4,835,13,DATA,LICENCE,DATA_SCIENCE,1,1,0,0,0,0
7,330,17,OTHER,INGENIEUR,BUSINESS,1,0,0,1,0,0
8,378,27,OTHER,MASTER,INFORMATIQUE,0,0,1,0,1,0
3,419,27,MANAGEMENT,MASTER,BUSINESS,0,1,0,1,1,1
12,519,45,MANAGEMENT,LICENCE,LANGUES,0,0,0,0,0,0
10,237,17,LANGUAGES,LICENCE,LANGUES,0,1,0,1,1,1
11,254,15,DATA,INGENIEUR,BUSINESS,1,0,1,0,0,0
0,300,31,MANAGEMENT,MASTER,LANGUES,1,1,1,1,1,0
15,634,48,DATA,INGENIEUR,DATA_SCIENCE,0,1,0,1,0,1
5,510,21,MANAGEMENT,INGENIEUR,BUSINESS,1,1,0,0,1,1
15,638,14,LANGUAGES,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
8,314,24,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,1,1
5,437,28,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,0
4,680,26,MANAGEMENT,INGENIEUR,INFORMATIQUE,0,0,0,0,0,0
2,355,14,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,1,1,1
3,572,17,LANGUAGES,MASTER,BUSINESS,1,0,0,1,1,1
7,492,21,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
4,284,27,LANGUAGES,LICENCE,LANGUES,1,1,1,1,1,1
1,574,13,DATA,MASTER,DATA_SCIENCE,1,0,1,0,1,1
3,123,20,DATA,LICENCE,LANGUES,1,0,1,1,1,0
2,504,26,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
13,866,46,BACKEND,MASTER,BUSINESS,0,1,0,1,0,0
3,228,11,BACKEND,LICENCE,INFORMATIQUE,1,0,1,1,1,1
9,848,14,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,1,1
6,132,29,OTHER,INGENIEUR,DATA_SCIENCE,0,0,1,0,0,0
3,594,33,DATA,MASTER,LANGUES,0,0,1,1,0,1
10,213,17,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
3,363,12,DATA,MASTER,DATA_SCIENCE,1,1,1,1,0,1
8,286,40,DATA,MASTER,INFORMATIQUE,1,1,0,1,0,0
9,625,24,OTHER,LICENCE,DATA_SCIENCE,0,1,0,1,1,0
5,441,28,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
8,500,20,MANAGEMENT,INGENIEUR,BUSINESS,1,0,0,1,1,1
2,479,20,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
10,760,19,BACKEND,LICENCE,LANGUES,1,1,1,0,0,0
6,125,48,MANAGEMENT,MASTER,LANGUES,1,1,0,1,1,0
4,434,26,LANGUAGES,MASTER,LANGUES,1,1,1,1,1,1
4,536,48,LANGUAGES,LICENCE,LANGUES,1,0,0,1,0,1
11,347,31,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
14,215,18,OTHER,LICENCE,BUSINESS,1,1,1,0,1,0
2,405,14,LANGUAGES,LICENCE,LANGUES,1,1,1,0,0,1
2,283,30,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
10,386,9,OTHER,MASTER,BUSINESS,0,1,1,1,0,0
2,430,21,LANGUAGES,MASTER,LANGUES,1,0,1,0,1,1
11,837,40,DATA,LICENCE,BUSINESS,1,0,0,0,1,0
5,263,27,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,1,1
3,312,23,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,0,1
9,546,40,MANAGEMENT,LICENCE,BUSINESS,0,0,1,1,1,1
5,359,15,MANAGEMENT,LICENCE,BUSINESS,0,1,1,0,1,1
11,490,12,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
6,775,17,OTHER,MASTER,BUSINESS,0,1,0,1,1,0
15,219,44,MANAGEMENT,MASTER,LANGUES,1,1,1,0,1,0
5,834,13,LANGUAGES,INGENIEUR,INFORMATIQUE,0,1,1,1,1,0
3,487,48,DATA,LICENCE,LANGUES,0,0,0,0,0,0
13,294,45,DATA,LICENCE,DATA_SCIENCE,1,0,0,1,1,1
6,250,14,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
3,249,33,DATA,MASTER,DATA_SCIENCE,1,0,0,1,0,1
4,265,26,LANGUAGES,MASTER,LANGUES,1,0,0,1,0,0
3,307,18,DATA,MASTER,DATA_SCIENCE,1,0,1,0,1,1
5,298,22,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,0,1
10,331,12,LANGUAGES,MASTER,LANGUES,1,1,1,0,1,1
4,828,35,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,1,0,0,0
2,426,22,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,1,1
1,484,48,BACKEND,MASTER,INFORMATIQUE,0,0,0,0,1,0
9,606,11,OTHER,INGENIEUR,BUSINESS,0,0,1,0,0,0
7,319,27,MANAGEMENT,INGENIEUR,BUSINESS,1,0,1,1,1,1
6,486,11,LANGUAGES,LICENCE,LANGUES,0,1,0,0,0,0
1,599,9,OTHER,MASTER,INFORMATIQUE,0,0,1,1,0,0
5,129,14,BACKEND,INGENIEUR,LANGUES,0,1,1,0,1,0
9,215,13,MANAGEMENT,INGENIEUR,BUSINESS,1,1,0,0,1,1
3,402,25,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
2,330,23,LANGUAGES,MASTER,LANGUES,0,1,1,1,1,1
7,459,11,MANAGEMENT,INGENIEUR,LANGUES,0,0,0,0,1,0
11,420,41,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,1,0,1,0,0
8,355,27,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
10,194,13,LANGUAGES,LICENCE,LANGUES,0,0,1,0,1,1
11,313,23,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,0,1,1
4,424,24,LANGUAGES,INGENIEUR,LANGUES,0,1,0,1,0,1
15,636,27,MANAGEMENT,INGENIEUR,LANGUES,1,0,1,0,1,0
12,740,43,OTHER,MASTER,BUSINESS,0,0,1,0,0,0
11,608,37,DATA,LICENCE,LANGUES,0,1,0,1,1,0
15,305,17,OTHER,INGENIEUR,INFORMATIQUE,0,1,0,1,0,1
9,780,42,OTHER,MASTER,INFORMATIQUE,1,0,0,1,1,0
14,121,15,DATA,INGENIEUR,BUSINESS,0,0,1,0,0,0
15,526,35,BACKEND,INGENIEUR,INFORMATIQUE,1,0,1,1,0,1
4,293,10,OTHER,MASTER,BUSINESS,1,1,1,0,1,0
14,439,34,OTHER,INGENIEUR,INFORMATIQUE,0,0,0,0,1,0
10,302,8,OTHER,INGENIEUR,INFORMATIQUE,0,1,0,0,1,1
11,201,15,LANGUAGES,INGENIEUR,LANGUES,0,1,1,1,1,1
10,182,27,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,1
11,336,46,LANGUAGES,INGENIEUR,BUSINESS,0,0,0,1,0,0
3,405,26,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,1
0,862,17,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,0
9,429,23,LANGUAGES,MASTER,LANGUES,0,1,0,0,1,1
8,428,22,DATA,MASTER,DATA_SCIENCE,1,1,1,1,0,1
5,263,18,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
7,506,31,LANGUAGES,MASTER,LANGUES,0,1,0,1,1,1
9,264,18,BACKEND,MASTER,INFORMATIQUE,1,1,1,1,1,1
3,452,21,DATA,MASTER,INFORMATIQUE,0,1,1,1,0,0
4,403,12,MANAGEMENT,MASTER,BUSINESS,1,1,0,1,1,1
11,498,38,MANAGEMENT,INGENIEUR,INFORMATIQUE,1,1,1,1,0,0
9,300,13,DATA,INGENIEUR,DATA_SCIENCE,1,0,1,1,0,1
2,338,16,LANGUAGES,MASTER,LANGUES,1,0,1,1,1,1
7,331,27,MANAGEMENT,INGENIEUR,BUSINESS,1,1,0,1,1,1
4,419,22,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,0,1
8,201,18,BACKEND,INGENIEUR,INFORMATIQUE,1,1,1,1,1,1
0,811,11,DATA,MASTER,LANGUES,1,1,0,0,1,0
6,494,22,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
5,270,19,OTHER,MASTER,BUSINESS,0,1,0,0,0,0
7,180,24,MANAGEMENT,MASTER,BUSINESS,1,0,1,0,1,1
10,343,27,MANAGEMENT,INGENIEUR,BUSINESS,0,1,0,0,1,1
10,757,25,OTHER,INGENIEUR,INFORMATIQUE,0,0,0,1,0,0
7,709,24,BACKEND,INGENIEUR,LANGUES,0,1,1,1,0,0
13,644,41,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,0,0,1,1,0
2,530,12,LANGUAGES,INGENIEUR,INFORMATIQUE,1,1,0,0,1,0
